"Quoted String","Byte Position","File Name"
"What happened?",2760,city1.txt
"We’ve been hit by a bomb— a super-atomic.",2860,city1.txt
"Are you crazy?",2936,city1.txt
"Yes,",2956,city1.txt
"I think maybe I am. I think that’s the only explanation.",2979,city1.txt
"Look,",3459,city1.txt
"I’ve read stuff about those super-atomic bombs, in the papers. It said they were thousands of times more powerful than the atom-bombs they used to have. If one of them hit any place there wouldn’t be anything left of it.",3487,city1.txt
"So no super-atomic bomb could have hit us. It couldn’t have been that.",3769,city1.txt
"You saw that terrific flash in the sky, didn’t you?",3845,city1.txt
"Sure I did, but—",3918,city1.txt
"Say, it was a fizzle. That’s what it was. This super-atomic bomb they’ve been scaring the world with— it turned out to be just a fizzle.",3976,city1.txt
"Isn’t that rich? They tell for years what terrible things it’s going to do, and then it just makes a big fizz and flash like a bad Fourth of July firecracker!",4151,city1.txt
"It was maybe a bluff, all the time,",4441,city1.txt
"They maybe didn’t really have any super-atomic bomb at all.",4513,city1.txt
"They had them, all right. And they used one on us. And I think we’re dead and don’t know it yet We don’t know yet that we’re only ghosts and not living on Earth any more.",4640,city1.txt
"Not on Earth?",4816,city1.txt
"Now, listen—",4860,city1.txt
"It’s in the wrong place,",5358,city1.txt
"And it looks different.",5405,city1.txt
"Refraction. Dust that that fizzle-bomb stirred up—",5499,city1.txt
"Maybe you’re right.",5743,city1.txt
"Sure I’m right,",5768,city1.txt
"I am a ghost, going to talk with other ghosts about our sudden deaths.",6108,city1.txt
"Stop that! You’re a scientist. What good is your science if it cracks up in the face of an unexplained phenomenon?",6212,city1.txt
earthquake.,6926,city1.txt
"Industrial Research Laboratories.",7523,city1.txt
"But not clever enough,",8024,city1.txt
"It looks like it’s beginning,",8632,city1.txt
"Atomic Armageddon— the final fireworks.",8694,city1.txt
"Why didn’t it wipe us out, Kenniston? Why didn’t it?",8766,city1.txt
"Don’t the Geigers show anything?",8845,city1.txt
"Nothing. Not a thing.",8883,city1.txt
"Where’s Hubble?",8994,city1.txt
"Over there. He’s had us trying to call Washington, but the wires are all dead and even the radio hasn’t been able to get through yet.",9040,city1.txt
"There isn’t any way yet to figure out where that missile came from,",9460,city1.txt
"Look at those stars, Kenniston.",9649,city1.txt
"Stars? Stars, in the daytime—?",9686,city1.txt
"They’re wrong,",9907,city1.txt
"They’re very wrong.",9937,city1.txt
"What happened? Did their super-atomic really fizzle?",9979,city1.txt
"No,",10081,city1.txt
"It didn’t fizzle. It went off.",10103,city1.txt
"But Hubble, if that super-atomic went off, why—",10139,city1.txt
"For Christ’s sake, Hubble, this is no time for scientific theorizing! The town hasn’t been hit, but something big has happened, and—",10498,city1.txt
"Get the hell away from me,",10636,city1.txt
"See those, Ken? They’re proof— proof of something that cannot be. What does a scientist do when he faces that kind of a situation?",10977,city1.txt
"We haven’t been able to contact Washington yet. And we can’t understand— our calls go completely unanswered, and not one station outside Middletown seems to be broadcasting.",11253,city1.txt
"It all fits in. Yes, it all fits in.",11458,city1.txt
"What do you make of it, Doctor?",11500,city1.txt
"That bomb went off over Middletown, even though it didn’t hurt us. Yet it’s as though all the world outside Middletown has been silenced!",11558,city1.txt
"Yes, let him come in.",11978,city1.txt
"It’s Johnson. You know, the electrician who did some installations for us. He lives out on the edge of town. He told the watchman that was why he had to see me— because he lives on the edge of town.",12014,city1.txt
"I thought you might know,",12357,city1.txt
"It seems like somebody’s got to tell me what’s happened, or I’ll lose my mind. I’ve got a cornfield, Mr. Hubble. It’s a long field, and then there’s a fence row, and my neighbor’s barn beyond it.",12404,city1.txt
"What about your cornfield?",12643,city1.txt
"Part of it’s gone,",12675,city1.txt
"and the fence row, and the barn… Mr. Hubble, they’re all gone, everything…",12710,city1.txt
"Blast effect,",12790,city1.txt
"A bomb hit here a little while ago, you see.",12826,city1.txt
"No,",12876,city1.txt
"I was in London last war, I know what blast can do. This isn’t destruction. It’s…",12896,city1.txt
"I thought you might know what it is.",13025,city1.txt
"I’m going out and take a look.",13173,city1.txt
"We can see everything from the water tower, I think— that’s the highest point in town. You keep trying to get through, Crisci.",13344,city1.txt
"The bomb— did it somehow blast the countryside out there, instead of Middletown?",16303,city1.txt
"Would it take away a river, and bring instead those hills and that yellow scrub?",16389,city1.txt
"Would any bomb-blast do that?",16485,city1.txt
"But for God’s sake, then what—",16520,city1.txt
"It hit us, Kenniston. It went off right over Middletown, and it did something…",16556,city1.txt
"Nobody really knew what a super-atomic bomb would do. There were logical theories and assumptions about it, but nobody really knew anything except that the most violent concentrated force in history would be suddenly released. Well, it was released, over Middletown. And it was violent. So violent that…",16665,city1.txt
"That’s our Sun, our own Sun— but it’s old now, very old. And that Earth we see out there is old too, barren and eroded and dying. And the stars…. You looked at the stars, Ken, but you didn’t see them. They’re different, the constellations distorted by the motions of the stars, as only millions of years could distort them.",17117,city1.txt
"Millions of years? Then you think that the bomb…",17467,city1.txt
"Yes, the bomb,",17627,city1.txt
"A force, a violence, greater than any ever known before, too great to be confined by the ordinary boundaries of matter, too great to waste its strength on petty physical destruction. Instead of shattering buildings, it shattered space and time.",17657,city1.txt
"Hubble, no! That’s madness! Time is absolute—",17944,city1.txt
"You know it isn’t. You know from Einstein’s work that there’s no such thing as time by itself, that instead there is a space-time continuum. And that continuum is curved, and a great enough force could hurl matter from one part of the curve to another.",18008,city1.txt
"And the released force of the first super-atomic bomb did it. It blew this town into another part of the space-time curve, into another age millions of years in the future, into this dying, future Earth!",18348,city1.txt
